SaleID,ProductID,QuantitySold,SaleDate,SalespersonID
1,5,7,2024-06-10,3
2,3,3,2024-05-14,4
3,1,9,2024-05-29,3
4,4,7,2024-01-19,5
5,1,10,2024-06-17,5
6,2,7,2024-04-17,5
7,4,6,2024-05-29,2
8,2,6,2024-06-09,1
9,4,4,2024-06-25,2
10,1,2,2024-05-10,1
11,4,8,2024-03-16,2
12,4,6,2024-01-21,3
13,1,3,2024-05-03,1
14,2,2,2024-06-03,2
15,3,10,2024-02-14,2
16,5,2,2024-05-06,3
17,3,1,2024-06-01,3
18,2,7,2024-01-19,5
19,2,9,2024-04-05,2
20,4,5,2024-06-28,4
21,2,1,2024-01-09,4
22,3,5,2024-01-04,1
23,1,8,2024-05-18,5
24,2,3,2024-02-05,4
25,3,7,2024-04-10,5
26,5,7,2024-01-08,2
27,1,1,2024-03-23,3
28,1,9,2024-01-13,4
29,1,1,2024-01-22,4
30,5,1,2024-02-11,1
